procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  1 118272 104240    332 2291080    0    0 14716    27 3002 1949 22  8 46 24  1 2026-08-13 11:55:24
 1  0 118272 129516    348 2263116    0    0 16447    15 2842 1744 21  8 47 24  0 2026-08-13 11:55:34
 0  1 118272 111044    496 2274880    0    0 15042    13 2896 1931 21  8 46 24  1 2026-08-13 11:55:44
 1  0 118528 154680    396 2223396    2   13 14803    24 2989 1891 20 10 44 25  1 2026-08-13 11:55:54
 1  0 118528 155888    428 2218248    0    0 15906    33 2615 1460 20  6 48 26  1 2026-08-13 11:56:04
 1  0 118528 142320    436 2250484    0    0 13822    27 2945 1964 21  8 46 24  1 2026-08-13 11:56:14
 0  1 118528 131756    444 2259392    0    0 17499    14 2876 1749 21  7 47 25  0 2026-08-13 11:56:24
 1  0 118528 148456    460 2246136    0    0 15106    17 3045 2011 22  8 46 23  1 2026-08-13 11:56:34
 0  1 118528 137984    468 2259080    1    0 17930    10 2758 1844 22  7 47 24  0 2026-08-13 11:56:44
 1  0 118528 139784    476 2251364    0    0 15709    16 3064 1921 23  7 47 23  0 2026-08-13 11:56:54
 1  0 118528 140976    500 2257472    0    0 17343    44 2919 1774 21  7 47 24  0 2026-08-13 11:57:04
 0  1 118528 138748    508 2256572    0    0 11066    22 2459 1418 20  6 47 25  2 2026-08-13 11:57:14
 1  0 118528 132044    516 2267524    0    0 12070    12 2677 1677 21  7 46 24  2 2026-08-13 11:57:24
 1  0 118528 101056    540 2294596    0    0 13735    24 2645 1500 20  6 47 25  1 2026-08-13 11:57:34
 1  0 118528 120188    548 2266628    0    0 13606    12 2967 1915 22  8 46 23  1 2026-08-13 11:57:44
 1  0 118528 115880    556 2262244    0    0 15888    36 2695 1596 21  7 47 24  1 2026-08-13 11:57:54
 1  0 118528 153104    580 2247668    0    0 13993    33 3068 1894 22  8 46 23  1 2026-08-13 11:58:04
 0  1 118528 131120    588 2267308    1    0 17062    14 2865 1745 22  7 47 24  0 2026-08-13 11:58:14
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0 118528 103508    596 2286304    0    0 15058    25 3011 1853 22  7 46 24  0 2026-08-13 11:58:24
 1  0 118528 115824    612 2282956    0    0 16606    20 2828 1692 22  7 47 24  0 2026-08-13 11:58:34
 0  1 118528 135572    620 2260904    0    0 16637    30 3031 1861 22  7 47 24  0 2026-08-13 11:58:44
 1  0 118528 120308    624 2278892    0    0 16466    13 2877 1743 22  7 47 24  0 2026-08-13 11:58:54
 1  0 118528 122756    784 2274092    2    0 17152    31 2843 1740 22  7 47 25  0 2026-08-13 11:59:04
 1  0 118528 109892    508 2288632    0   16 15883    26 2981 1830 22  8 46 23  0 2026-08-13 11:59:14
 0  1 118528 114924    516 2252360    0    2 17974     8 2711 1683 21  7 47 25  0 2026-08-13 11:59:24
 1  0 118528 143868    524 2250864    0    0 14726    16 3440 2304 22  9 45 23  0 2026-08-13 11:59:34
 1  0 118528 112216    536 2278168    0    0 17422    18 2776 1588 21  6 48 25  0 2026-08-13 11:59:44
 0  1 118784 150572    432 2229852    0    9 14819    19 3203 2108 21  9 45 24  0 2026-08-13 11:59:54
 1  0 118784 104504    604 2277820    3    0 15850    54 2805 1736 21  7 47 24  1 2026-08-13 12:00:04
 0  1 118784 148728    512 2247700    0    0 13536    15 2958 1833 21  7 46 24  1 2026-08-13 12:00:14
 1  0 118784 138180    520 2250608    0    0 16898    17 2961 1829 22  7 47 24  0 2026-08-13 12:00:24
 0  1 118784 152232    528 2236624    0    0 15288     9 2807 1772 22  7 47 24  0 2026-08-13 12:00:34
 0  1 118784 120900    544 2275836    1    0 14960    29 2847 1741 22  7 47 24  1 2026-08-13 12:00:44
 0  1 118784 114260    552 2274300    2    0 16610    11 2855 1648 22  6 47 25  0 2026-08-13 12:00:54
 2  0 118784 140372    584 2254908    0    0 14764    41 3380 2338 22 10 45 23  1 2026-08-13 12:01:04
 1  0 118784 146188    592 2242788    0    0 15239    15 2537 1448 21  6 48 25  1 2026-08-13 12:01:14
 0  1 118784 135412    600 2259144    0    0 12410    13 2785 1762 20  7 46 25  1 2026-08-13 12:01:24
 1  0 118784 142096    608 2241120    0    0 14458    32 2494 1384 20  6 48 25  1 2026-08-13 12:01:34
 1  0 118784 123576    616 2276440    0    0 14293    14 2872 1783 21  7 47 25  1 2026-08-13 12:01:44
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 1  0 118784 111852    624 2273208    0    0 15184    12 2703 1626 21  7 47 25  1 2026-08-13 12:01:54
 1  0 119040 687252    348 1654828    0   92 13992   134 2680 1593 22 13 41 23  1 2026-08-13 12:02:04
 0  1 119040 596364    356 1784928    0    0 13010    13 2674 1624 16  8 48 27  1 2026-08-13 12:02:14
 0  1 119040 438360    364 1947760    1    0 16310    21 2948 1833 18 11 46 24  1 2026-08-13 12:02:24
 1  0 119040 268764    372 2118256    0    0 17048    13 2599 1541 19  9 48 24  0 2026-08-13 12:02:34
 0  1 119040 111776    380 2270568    0    0 15237    15 3017 1939 21  8 47 24  0 2026-08-13 12:02:44
 0  1 119296 136484    388 2255956    0   25 17933    38 2618 1576 21  6 48 25  0 2026-08-13 12:02:54
 1  0 122880 111676    420 2270192    6  384 16182   421 3203 2055 21  8 46 24  0 2026-08-13 12:03:04
 1  0 122880 121740    436 2277632    1    0 16917    36 2752 1530 21  6 47 25  0 2026-08-13 12:03:14
 1  0 122880 143500    444 2256220    5    0 14394    10 2758 1803 21  8 47 23  1 2026-08-13 12:03:24
 1  0 122880 136232    452 2259984    2    0 16832    13 2716 1639 22  6 47 24  0 2026-08-13 12:03:34
 0  1 122880 137056    468 2255036    4    0 16200    24 3200 2156 22  9 46 23  0 2026-08-13 12:03:44
 0  1 120064 133084    476 2248472  282    0 16154    13 2911 1748 22  7 46 24  1 2026-08-13 12:03:54
 1  0 119808 152660    524 2244764   37    0 16395    47 2791 1706 22  7 46 25  1 2026-08-13 12:04:04
 1  0 119808 131144    532 2268516    1    0 13322     9 2567 1611 22  7 47 23  1 2026-08-13 12:04:14
 1  1 119808 151088    540 2243328    0    0 13968     7 2595 1490 21  6 47 25  1 2026-08-13 12:04:24
 0  1 119808 132196    548 2257420    1    0 12158    16 2776 1857 21  8 46 24  1 2026-08-13 12:04:34
 0  1 119808 137588    548 2249896    0    0 14554    10 2551 1550 21  6 47 24  1 2026-08-13 12:04:44
 2  0 119808 116064    556 2280388    0    0 13442    14 2421 1291 20  5 48 26  2 2026-08-13 12:04:54
 0  1 119296 126268    656 2263248  145    0 11102    28 2599 1662 20  7 43 26  4 2026-08-13 12:05:04
 1  0 119296 108696    676 2281304    0    0 13019    22 2250 1260 20  5 47 25  2 2026-08-13 12:05:14
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  1 119296 116744    688 2275352    0    0 13357     9 2386 1265 19  5 48 26  2 2026-08-13 12:05:24
 2  0 119296 106612    756 2285572    4    0 13847    63 2956 1914 20  8 45 25  1 2026-08-13 12:05:34
 0  1 119296 111760    764 2276968    0    0 15635     6 2683 1540 20  7 47 25  1 2026-08-13 12:05:44
 0  1 119296 131092    772 2262232    2    0 13675    10 2846 1711 21  7 46 25  1 2026-08-13 12:05:54
 1  0 119808 161472    500 2234768    0   50 14153    85 2729 1530 21  7 46 24  1 2026-08-13 12:06:04
 1  0 120064 107464    232 2285892    0   50 14944    60 2528 1372 20  6 48 25  1 2026-08-13 12:06:14
 1  0 120320 117888    248 2277616    2   33 14295    49 2995 1960 22  8 46 23  1 2026-08-13 12:06:24
 1  0 120832 124368    256 2261188    1   51 17072    73 2695 1675 21  7 47 25  0 2026-08-13 12:06:34
 0  1 121344 126056    272 2268272    1   46 13970    66 2752 1686 22  7 47 24  1 2026-08-13 12:06:44
 0  1 121600 133256    268 2260172    0   33 15418    44 2738 1593 20  7 47 25  1 2026-08-13 12:06:54
 1  0 121600 137152    292 2253248    0    0 16035    25 2695 1644 22  6 47 24  1 2026-08-13 12:07:04
 0  1 121600 150740    300 2240020    1    0 14877    19 2870 1805 22  8 46 24  1 2026-08-13 12:07:14
 0  1 121600 126568    308 2268744   10    0 14042    26 2506 1351 20  6 47 26  1 2026-08-13 12:07:24
 1  0 121600 153020    316 2247980    0    0 14393    14 3194 2098 23  9 45 23  1 2026-08-13 12:07:34
 1  0 121600 155956    324 2238788    2    0 15757    14 2675 1471 21  6 47 25  1 2026-08-13 12:07:44
 0  1 121600 127668    336 2269412    1    0 14044    14 2780 1772 22  7 46 24  1 2026-08-13 12:07:54
 1  0 121600 122304    376 2275900    0    0 16493    49 2628 1507 21  6 48 25  1 2026-08-13 12:08:04
 0  1 121600 116740    384 2262436    0    0 14671    13 2635 1569 21  6 47 25  1 2026-08-13 12:08:14
 1  0 121600 125276    392 2249348    0    0 14245    21 3102 2038 20  9 45 24  1 2026-08-13 12:08:24
 0  1 121600 117516    400 2271956    1    0 17129    17 2824 1706 20  7 47 25  1 2026-08-13 12:08:34
 0  1 121600 118952    408 2277332    0    0 15055    14 2938 1930 22  8 46 24  1 2026-08-13 12:08:44
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  1 121600 108316    424 2288108    0    0 17156    33 2573 1651 21  7 47 24  1 2026-08-13 12:08:54
 0  1 121600 111540    496 2284848    0    0 15658    34 3165 2069 21  8 46 24  0 2026-08-13 12:09:04
 1  0 121600 108292    504 2290696    3    0 16508     2 2636 1471 21  6 48 25  1 2026-08-13 12:09:14
 1  0 121344 116604    512 2280188   26    0 14668    12 2847 1785 20  8 46 25  1 2026-08-13 12:09:24
 0  1 121344 142032    520 2256668    0    0 15005    30 2892 1916 21  8 46 24  1 2026-08-13 12:09:34
 0  1 121600 105696    244 2294576    0    6 16345    36 2628 1676 21  7 47 24  1 2026-08-13 12:09:44
 0  1 121600 105904    248 2293188    0    4 14771    14 3024 2010 22  8 46 24  1 2026-08-13 12:09:54
 1  0 121600 143128    416 2255352    6    4 15730    43 2576 1471 20  6 47 25  1 2026-08-13 12:10:04
 0  1 121600 146032    424 2255556    0    0 14359     9 2729 1692 22  7 47 24  1 2026-08-13 12:10:14
 0  1 121600 114212    432 2279112    0    0 15444     9 2624 1427 20  6 48 25  1 2026-08-13 12:10:24
 1  0 121856 149240    432 2250616    0   12 17377    30 2844 1579 21  6 47 25  0 2026-08-13 12:10:34
 1  0 121856 156872    440 2240860    0    0 15332    10 2858 1843 22  7 47 24  1 2026-08-13 12:10:44
 0  1 121856 146324    456 2251636    2    0 17787    10 2809 1598 21  7 46 25  1 2026-08-13 12:10:54
 1  0 121856 153672    496 2224068    2    0 13678    30 3059 2017 22  9 45 23  1 2026-08-13 12:11:04
 0  0 121856  99536    504 2270272    0    0 15489    11 2862 1712 21  7 46 25  1 2026-08-13 12:11:14
 0  1 121856 125500    512 2246600    0    0 13555    18 2998 2040 20  9 46 25  1 2026-08-13 12:11:24
 1  0 121856 116108    520 2260716    0    0 16813    26 2691 1551 22  6 47 25  1 2026-08-13 12:11:34
 0  1 121856 138404    528 2243576    0    0  8473    14 1581  938 13  4 48 34  1 2026-08-13 12:11:44
 1  0 121856 145128    536 2238048    0    0 13732    11 2845 1766 20  7 47 25  1 2026-08-13 12:11:54
 0  1 121856 106260    568 2275188    0    0 12442    28 2176 1172 19  5 47 26  2 2026-08-13 12:12:04
 1  0 122112 681868    356 1663588    0   65 10903    90 2350 1300 20 12 41 24  3 2026-08-13 12:12:14
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu----- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st                 UTC
 0  1 122112 584848    364 1791812    0    0 12824    12 2370 1331 16  8 48 27  2 2026-08-13 12:12:24
 1  0 122112 443684    372 1936000    0    0 14420    18 2558 1505 17  9 47 26  1 2026-08-13 12:12:34
 1  0 122112 280136    396 2094152    1    0 15812    41 2541 1439 18  9 48 24  1 2026-08-13 12:12:44
 1  0 122112 136496    404 2238384    1    0 14424    14 2579 1503 19  7 47 25  1 2026-08-13 12:12:54
 1  0 122112 107360    428 2264336    1   17 12498    58 2481 1553 19  7 47 27  1 2026-08-13 12:13:04
 2  0 122112 143992    436 2237636    0    0 17196    12 2582 1541 21  6 48 25  1 2026-08-13 12:13:14
 1  0 122112 129276    444 2260868    0    7 13081    40 2759 1711 21  7 46 25  1 2026-08-13 12:13:24
 1  0 122112 120716    448 2271552    0    0 16762    14 2830 1612 21  6 47 25  1 2026-08-13 12:13:34
 1  0 122112 125500    464 2265984    1    0 16130    16 2723 1636 22  6 47 24  1 2026-08-13 12:13:44
 0  1 122112 120216    472 2265220    1    0 15530    14 2827 1702 22  7 46 24  1 2026-08-13 12:13:54
 0  1 122112 131304    524 2254852    1    0 15689    61 2809 1683 20  7 46 25  1 2026-08-13 12:14:04
 1  0 122112 144024    532 2241220    0    0 14971     2 3329 2219 22 10 45 22  1 2026-08-13 12:14:14
 0  1 122112 152776    540 2232436    0    0 15913     7 2606 1477 21  6 48 25  1 2026-08-13 12:14:24
 1  0 122112 117952    548 2269648    0    0 14596    13 3031 1953 22  8 46 23  1 2026-08-13 12:14:34
 1  0 122112 113348    556 2270736    0    0 16629     9 2603 1533 21  6 48 25  1 2026-08-13 12:14:44
 1  0 122112 141652    564 2245040    0    0 13621    22 2957 1838 22  8 46 24  1 2026-08-13 12:14:54
 1  0 122112 101972    588 2280788    0    0 14072    37 2604 1545 21  6 47 25  2 2026-08-13 12:15:04
